,location,date,verifier,fakenews
55,Colombia,2020/06/04,Colombiacheck,"Mayor of Medellín, Colombia, based his decision on schedule to play sports on validated research."
56,France,2020/06/04,AFP,Vaccines and facemasks “kill” people.
57,Italy,2020/06/04,Facta,A text message states that Facebook would have taken advantage of the chaos created by Covid-19 to gain permission to use our personal pictures.
58,Spain,2020/06/04,Maldita.es,"Pedro Sánchez, President of Spain, said this Wednesday, June 3 in the Congress of Deputies, that “today we have 0 deceased in our country as a result of COVID” and that Pablo Casado should be happy that “we haven’t had any death by COVID-19 over the past two days”."
59,Australia,2020/06/03,AAP FactCheck,A Facebook post makes a series of claims about Italy “defeating” COVID-19 inclduign that it “nothing but intravascular coagulation (thrombosis)”.It also alleges that Italian doctors who performed autopsies “discovered” that COVID-19 “is not a virus” but a bacteria that causes death and the formation of blood clots.
60,Indonesia,2020/06/03,TEMPO,This cyclist died due to lack of oxygen he was wearing a mask.
61,Brazil,2020/06/03,Agência Lupa,"There were no COVID-19 deaths in Belém, Brazil, on May 30 and May 31."
62,Mexico,2020/06/03,Animal Político,The herb named “holy leaf” or “momo” cures COVID-19 and helps patients breathe.
63,Brazil,2020/06/03,Agência Lupa,"Madagascar’s president, Andry Rajoelina, accused the WHO of promising bribes if he “poisoned” an alledged local COVID-19 treatment."
64,North Macedonia,2020/06/03,Vistinomer,"Claim that despite the fact that the crisis headquarters in the North Macedonian town of Stip announced that the textile factories in Stip will be closed due to established cases of coronavirus infections, some of the factories are still working."
65,India,2020/06/03,Vishvas News,Drinking pigeon membrane slurry can cure COVID-19.
66,France,2020/06/03,AFP,French “Stopcovid” case-tracking app has been secretly installed on smartphones.
67,France,2020/06/03,AFP,This table shows death figures in France from January to April.
68,France,2020/06/03,AFP,A cure for COVID-19 was discovered in Italy.
69,India,2020/06/03,FactCrescendo,"Indian Home Minister Amit Shah said that the government transferred financial aid of Rs 530 million into the bank accounts of 410 million people during the coronavirus pandemic, which means Rs 1.29 for each person."
70,Brazil,2020/06/03,Estadão Verifica,"A federal investigation in the city of Fortaleza, Brazil, made number of daily recorded deaths fall 90%."
71,Mexico,2020/06/03,Verificado,President of Mexico has proposed to collect taxes for having pets to cover social programs by COVID-19.
72,United States,2020/06/03,PolitiFact,“She’s just casually carrying a body with 1 hand..? Sure.. More evidence of coronavirus being a complete hoax with props & street theater.”
73,India,2020/06/03,India Today,Japanese Nobel laureate Dr. Tasuku Honjo has said China manufactured coronavirus and he once worked at the Wuhan lab which later produced it.
74,Italy,2020/06/03,Facta,"A scientific study about the new coronavirus according to which asymptomatic people would not be contagious. The study was conducted in China and it monitored 455 people who got in touch with a 22-years-old asymptomatic patient who tested positive for Covid-19, claiming that none of them caught the disease"
75,Brazil,2020/06/02,Agência Lupa,"After a police raid in Rio, the city administration reduced the official COVID-19 death toll by 1.177"
76,India,2020/06/02,Vishvas News,"Italy did not follow WHO protocol and did an autopsy on a corpse that died from Covid-19 and realised that coronavirus is actually not a virus but a bacterium which gets amplified with 5G electromagnetic radiation that also produces inflammation and hypoxia, and multiple other claims."
77,Uganda,2020/06/02,PesaCheck,Uganda Red Cross Society in partnership with the United States Agency for International Development (USAID).
78,Brazil,2020/06/02,Agência Lupa,A photo of a person carrying an alledged corpse with a single hand. The caption states this was a forged funeral.
79,Tanzania,2020/06/02,PesaCheck,"Vodacom is offering Tsh80,000 to M-Pesa users as COVID-19 relief funds."
80,Colombia,2020/06/02,La Silla Vacía,Alkaline water cures the coronavirus.
81,Mexico,2020/06/02,Animal Político,"President of Mexico proposes to collect a tax of 500 pesos for each pet, to pay for social programs related to COVID-19."
82,Nigeria,2020/06/02,Dubawa,"A Facebook page shared a post announcing that the United States of America will grant 5,000 Nigerians free work Visa for two years."
83,Colombia,2020/06/02,La Silla Vacía,"A beverage with aspirin, lemon and hot water cures the coronavirus."
84,India,2020/06/02,Vishvas News,Claim that Indian Prime minister Modi said one crore (10 million) COVID-19 positive patients have been treated for free.
85,India,2020/06/02,Vishvas News,"Video shows 106 dead bodies in Delhi’s Loknayak hospital, in India."
86,India,2020/06/02,BOOM FactCheck,India’s Prime Minister Narendra Modi said in his ‘Mann Ki Baat’ radio address that one crore COVID-19 patients have been treated for free in the country.
87,Egypt,2020/06/02,Fatabyyano,These images show bodies of COVID19 patient dead in the streets in America.
88,"Canada, United States, Australia, Malawi",2020/06/02,AFP,"A video has been shared thousands of times on social media, claiming that circuit boards with “COV-19” inscribed on them are being fitted to 5G towers."
89,India,2020/06/02,FactCrescendo,Indian Prime minister Narendra Modi said 10 million COVID-19 patients have been treated for free in India.
90,India,2020/06/02,BOOM FactCheck,India Today Ticker that says PM Modi has stated that India has treated 1 crore (10 million) COVID-19 patients for free.
91,India,2020/06/02,FactCrescendo,Gujarat CM Vijay Rupani said that his government provided ration to 650 million people during the lockdown.
92,India,2020/06/02,India Today,US President Donald Trump wanted to ruin Americans using coronavirus as a weapon. Thousands of people are protesting on the streets against that.
93,Brazil,2020/06/01,Agência Lupa,"There were no COVID-19 deaths in Fortaleza, Brazil, on May 29."
94,India,2020/06/01,BOOM FactCheck,The video of terrible conditions of a COVID-19 ward is from Delhi’s hospital.
95,India,2020/06/01,Vishvas News,"Video shows 106 dead bodies in Delhi’s Loknayak hospital, in India."
96,Italy,2020/06/01,Facta,A picture claiming that Lidl is offering free shopping vouchers for €180 in Italy.
97,Colombia,2020/06/01,Colombiacheck,The coronavirus ‘has been defeated with anti-inflammatories and anticoagulants’.
98,Brazil,2020/06/01,Estadão Verifica,Deaths in Brazil by pneumonia are registered as COVID-19.
99,Colombia,2020/06/01,Colombiacheck,WHO has declared COVID-19 an endemic disease.
100,Portugal,2020/06/01,Poligrafo,The covid-19 pandemic caused the death of 0.003% of the world population.
101,Mexico,2020/06/01,Verificado,The use of masks for COVID-19 causes hypoxia.
102,United States,2020/06/01,PolitiFact,“How many of you are aware that the female governor of Michigan is the niece of George Soros?”
103,Spain,2020/06/01,Maldita.es,"Publications on social networks that claims that a coronavirus outbreak after the protests in the Barrio de Salamanca, Madrid, Spain."
104,Mexico,2020/05/31,Animal Político,Video shows the Mexican Air Force throwing bodies of people infected with COVID-19 on the beaches of Acapulco.
105,Latvia,2020/05/31,Re:Check,"Facebook posts questioning the existence of the coronavirus, as no supermarket employee has been infected in the world."
106,Argentina,2020/05/31,Chequeado,Lionel Messi said “there was a planetary coup d’etat” with the coronavirus pandemic.
107,Sri Lanka,2020/05/31,AFP,"A photo from the funeral of a recently deceased Sri Lankan politician, Arumugam Thondaman, has been shared thousands of times in multiple Facebook posts. The posts claim the image shows one of Thondaman’s daughters violated Sri Lanka’s mandatory coronavirus quarantine policy for travelers by attending the ceremony shortly after returning to the country from overseas."
108,Guatemala,2020/05/31,Agencia Ocote,"A Facebook page posted that temporary hospitals in Guatemala would be closed, as people diagnosed with COVID-19 could isolate themselves at home. A statement they attributed to an authority in the Ministry of Health."
109,Mexico,2020/05/30,Animal Político,Salaries of deputies in Guatemala are suspended due to the COVID-19 crisis.
110,Colombia,2020/05/30,Colombiacheck,"In recent days, a chain circulated through WhatsApp that urged entering the page colombia.ayudas.xyz to be a beneficiary of government aid."
111,India,2020/05/30,Vishvas News,"Image claims that a family committed suicide in Jodhpur, India with its picture going viral during lockdown."
112,Sri Lanka,2020/05/30,FactCrescendo,Tamil Nadu (India) government approved Thanikasalam Siddha medicine for COVID-19.
113,Colombia,2020/05/30,Colombiacheck,Italian politician asked to take Bill Gates to the International Criminal Court.
114,India,2020/05/30,FactCrescendo,"Video shows migrants looting food packets at Hyderabad Railway station, in India."
115,India,2020/05/30,FactCrescendo,Coronavirus can be sexually transmitted.
116,Colombia,2020/05/30,Colombiacheck,"Mayor of El Espinal, Colombia ‘bought false tests for COVID-19’."
117,India,2020/05/30,India Today,Man seen in viral images was a Covid-19 patient who fell in love with his lady doctor. The two got engaged in the same hospital in Egypt.
118,Italy,2020/05/29,Facta,"A video which would show that the Immuni app (the application for contact tracing sponsored by the Italian government) is already active on our smartphones and, therefore, Italian people are being traced without their consent."
119,Ghana,2020/05/29,GhanaFact,Chewing raw onions can cure coronavirus.
120,Latvia,2020/05/29,Re:Check,"Facebook post claims that the Latvian app Apturi Covid (Stop Covid) which was created to warn people who have been close to  an infected person, will be used so the government can track all the people from the contact list and record their locations."
121,Ghana,2020/05/29,GhanaFact,A vaccine for the coronavirus has been discovered.
122,India,2020/05/29,FactCrescendo,Indian PM Narendra Modi has been selected as new chairmant of WHO.
123,India,2020/05/29,FactCrescendo,"The fifth phase of lockdown will be more harsh and strict in the state of Gujrat, India."
124,Colombia,2020/05/29,Colombiacheck,5G towers have a ‘VOC 19’ component and cause coronavirus.
125,Italy,2020/05/29,Facta,"A picture, allegedly published by the press agency Adnkronos, shows a passenger car with the inscription: “Covid-19 deportation plan”."
126,South Sudan,2020/05/29,PesaCheck,"South Sudan had recorded 481 COVID-19 cases by May 20, after the announcement of 134 new cases in Juba."
127,Italy,2020/05/29,Facta,An article claiming that wearing protective masks in open spaces would have severe collateral effects that could eventually lead to cancer.
128,Spain,2020/05/29,Maldita.es,"An excerpt from a document from the Ministry of Health with the following message: “This document of March 5, from the Government of Spain, requires nursing homes to keep the elderly with COVID-19 symptoms, locked in their rooms, preventing them from going to the hospital to be treated. So they died alone! Tremendous! “"
129,India,2020/05/29,FactCrescendo,India’s Home Ministry has given permission to reopen schools and educational institutions across India.
130,Colombia,2020/05/29,La Silla Vacía,Vickvaporub eliminates coronavirus.
131,Colombia,2020/05/29,La Silla Vacía,An Italian deputy says that 96 percent of the deaths of coronavirus are for other diseases.
132,United States,2020/05/29,Science Feedback,A study by Bartomeu Payeras i Cifre shows a direct correlation between 5G networks and COVID-19 outbreaks and “demonstrates clearly the most likely probability that the COVID-19 hypoxic injuries and hospital admissions are directly related to electromagnetic radiation exposure by 5G networks”.
133,Portugal,2020/05/29,Poligrafo,Portuguese energy company Galp is offering 3 months of free fuel to “help the needy”.
134,Indonesia,2020/05/29,TEMPO,Covid-19 is just common flu and was produced to make a profit.
135,Philippines,2020/05/29,Rappler,"A female overseas Filipino worker (OFW) in Saudi Arabia was beheaded after testing positive for COVID-19, the disease caused by the novel coronavirus."
136,Ireland,2020/05/29,TheJournal.ie,"Bill Gates, Melinda Gates, Anthony Fauci and the WHO are being charged with genocide."
137,India,2020/05/29,Newschecker,"In Italy, the cure for Coronavirus is finally found."
138,Spain,2020/05/28,Newtral.es,Google has installed a secret app in phones to spy users.
139,Lithuania,2020/05/28,15min.lt,A Youtube video shared on facebook claimed that Lithuanian Health Minister banned a “cure from COVID-19” from Lithuania.
140,Lithuania,2020/05/28,15min.lt,An article shared on Facebook claimed that the virus is fake and proven only by faulty testing.
141,India,2020/05/28,FactCrescendo,Kerala government is providing free quarantine service only to religious minorities.
142,Australia,2020/05/28,AAP FactCheck,"An Instagram post claims Microsoft founder Bill Gates said up to 700,000 people could die from a COVID-19 vaccine."
143,Kenya,2020/05/28,PesaCheck,"A Kenyan Facebook page bearing the name and image of Kakamega Governor Wycliffe Oparanya with a post claiming to offer cash relief of Ksh15,000 to Kenyans in distress as a result of the COVID-19 pandemic."
144,Brazil,2020/05/28,Aos Fatos,"Rio de Janeiro’s City Hall revised data after Federal Police operation and decreased 1,177 deaths from official COVID-19 records."
145,Colombia,2020/05/28,La Silla Vacía,The cure for coronavirus: acetaminophen and gargling mouthwash.
146,Kenya,2020/05/28,PesaCheck,Scientists in the United States have discovered a coronavirus cure “that works 100 percent”.
147,Spain,2020/05/28,Newtral.es,One person has been stabbed during a protest against the government in the neighbourhood of Moratalaz in Madrid.
148,Tanzania,2020/05/28,PesaCheck,"Ameera al-Taweel, a former Saudi princess and philanthropist, has partnered with the World Health Organization (WHO) to give out COVID-19 relief money on social media."
149,Kenya,2020/05/28,PesaCheck,Italian doctors have confirmed that COVID-19 is a bacterial disease and not caused by a virus as claimed by a number of authorities.
